date,symbol,side,qty,price,reason,pnl_pct
2026-03-24 14:59,AAPL,sell,19.0,252.20,trailing_stop,-7.67
2026-03-24 15:10,AAPL,sell,19.0,253.30,trailing_stop,-7.26
2026-03-25 15:46,VNQ,sell,8.0,88.03,trailing_stop,-7.49
2026-03-25 15:46,AMD,buy,7,217.61,"signal_entry(score=4,regime=mean_reversion)",
2026-03-25 15:46,MRK,buy,17,119.58,"signal_entry(score=3,regime=mean_reversion)",
2026-03-25 15:46,COP,buy,13,129.38,"signal_entry(score=3,regime=mean_reversion)",
2026-03-25 15:46,SLB,buy,25,52.22,"signal_entry(score=3,regime=mean_reversion)",
2026-03-25 18:59,MS,buy,1,165.81,"signal_entry(score=2,regime=mean_reversion)",
2026-03-25 18:59,XOM,buy,1,163.81,"signal_entry(score=2,regime=mean_reversion)",
2026-03-25 18:59,CVX,buy,1,205.80,"signal_entry(score=2,regime=mean_reversion)",
2026-03-25 18:59,EOG,buy,1,142.95,"signal_entry(score=2,regime=mean_reversion)",
2026-03-26 15:52,BND,sell,10.0,73.30,weak_momentum_exit,-2.09
2026-03-26 15:52,PFE,buy,85,27.66,"signal_entry(score=3,regime=mean_reversion)",
2026-03-26 19:10,AMD,sell,7.0,204.37,trailing_stop,-6.01
